,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1330,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - AWD0091,Janrath AC Seater 2+2,2024-07-17 19:00:00,07h 00m,2024-07-17 02:00:00,2.0,690,36
1331,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - CBG0138,Janrath AC Seater 2+2,2024-07-17 19:30:00,08h 00m,2024-07-17 03:30:00,3.3,690,36
1332,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - SLP0061,Ordinary Non AC Seater 2+3,2024-07-17 19:30:00,07h 45m,2024-07-17 03:15:00,3.3,475,52
1333,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - CBG0045,Janrath AC Seater 2+2,2024-07-17 20:00:00,07h 30m,2024-07-17 03:30:00,3.3,690,36
1334,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - AWD0093,Janrath AC Seater 2+2,2024-07-17 20:30:00,07h 00m,2024-07-17 03:30:00,3.3,690,36
1335,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - CBG0047,Janrath AC Seater 2+2,2024-07-17 21:00:00,07h 00m,2024-07-17 04:00:00,2.5,690,36
1336,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - AWD0092,Janrath AC Seater 2+2,2024-07-17 21:30:00,07h 00m,2024-07-17 04:30:00,3.3,690,36
1337,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - ALM0157,Shatabdi AC Seater 2+2,2024-07-17 22:02:00,06h 00m,2024-07-17 04:02:00,5.0,698,41
1338,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - ALM0150,Volvo AC Seater 2+2,2024-07-17 22:29:00,05h 50m,2024-07-17 04:19:00,4.7,996,39
1339,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - CHL0016,Ordinary Non AC Seater 2+3,2024-07-17 22:30:00,06h 30m,2024-07-17 05:00:00,3.3,475,52
1340,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - AWD0095,Pink Express AC Seater 2+2,2024-07-17 23:00:00,07h 00m,2024-07-17 06:00:00,2.5,690,41
1341,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - HDD0002,Janrath AC Seater 2+2,2024-07-17 23:30:00,07h 00m,2024-07-17 06:30:00,3.2,690,36
1342,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,UPSRTC - TAJ0042,Janrath AC Seater 2+2,2024-07-17 23:54:00,06h 16m,2024-07-17 06:10:00,4.3,690,36
1343,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Sethi Yatra Company,A/C Seater/Sleeper (2+1),2024-07-17 22:00:00,08h 00m,2024-07-17 06:00:00,4.5,499,30
1344,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 22:30:00,07h 30m,2024-07-17 06:00:00,3.8,399,38
1345,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Yolo Bus,A/C Sleeper (2+1),2024-07-17 22:15:00,07h 34m,2024-07-17 05:49:00,3.8,650,22
1346,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Raj Kalpana Travels Pvt.Ltd,A/C Sleeper (2+1),2024-07-17 20:00:00,05h 45m,2024-07-17 01:45:00,4.5,998,31
1347,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Raj Kalpana Travels Pvt.Ltd,A/C Sleeper (2+1),2024-07-17 17:20:00,06h 10m,2024-07-17 23:30:00,4.2,1400,22
1348,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Goyal Travels,VE A/C Seater / Sleeper (2+1),2024-07-17 16:00:00,07h 25m,2024-07-17 23:25:00,2.5,799,30
1349,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Sethi Yatra Company,A/C Seater/Sleeper (2+1),2024-07-17 16:15:00,07h 30m,2024-07-17 23:45:00,1.8,550,32
1350,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,SAFAR EXPRESS PVT LTD,A/C Seater / Sleeper (2+1),2024-07-17 16:05:00,07h 25m,2024-07-17 23:30:00,3.7,1150,29
1351,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 17:00:00,06h 45m,2024-07-17 23:45:00,2.9,599,23
1352,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Vinay Travels,VE A/C Seater / Sleeper (2+1),2024-07-17 21:30:00,04h 30m,2024-07-17 02:00:00,2.9,1490,43
1353,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Khajuraho Travels,A/C Seater / Sleeper (2+1),2024-07-17 18:00:00,05h 50m,2024-07-17 23:50:00,3.2,851,34
1354,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,HIGHWAY STAR TRAVEL & CARGO,A/C Seater / Sleeper (2+2),2024-07-17 17:05:00,07h 10m,2024-07-17 00:15:00,2.1,1199,32
1355,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,SAFAR EXPRESS PVT LTD,A/C Seater / Sleeper (2+2),2024-07-17 18:05:00,06h 45m,2024-07-17 00:50:00,3.7,1150,48
1356,UPSRTC,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow,First Choice Holidays,A/C Seater / Sleeper (2+2),2024-07-17 18:15:00,05h 40m,2024-07-17 23:55:00,2.2,5000,54
1357,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - FZG0007,Ordinary Non AC Seater 2+3,2024-07-17 01:00:00,05h 00m,2024-07-17 06:00:00,3.3,413,52
1358,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - CBG0092,Pink Express AC Seater 2+2,2024-07-17 02:46:00,05h 14m,2024-07-17 08:00:00,3.3,635,36
1359,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - RKD0037,Janrath AC Seater 2+3,2024-07-17 10:30:00,07h 10m,2024-07-17 17:40:00,3.7,505,48
1360,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - FZG0001,Ordinary Non AC Seater 2+3,2024-07-17 19:30:00,07h 30m,2024-07-17 03:00:00,3.3,413,52
1361,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - ORI0135,Ordinary Non AC Seater 2+3,2024-07-17 19:35:00,07h 55m,2024-07-17 03:30:00,3.3,410,52
1362,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - STD0527,Ordinary Non AC Seater 2+3,2024-07-17 20:35:00,06h 29m,2024-07-17 03:04:00,3.3,405,52
1363,UPSRTC,Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar,UPSRTC - RKD0039,Janrath AC Seater 2+2,2024-07-17 21:00:00,06h 55m,2024-07-17 03:55:00,3.3,610,36
