,ID,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1973,1974,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambhavi Tours and Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 20:25:00,08h 35m,2024-07-17 05:00:00,3.2,1000.00,42
1974,1975,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambhavi Tours and Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 20:30:00,08h 30m,2024-07-17 05:00:00,3.2,500.00,40
1975,1976,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SKS Logistics,A/C Seater / Sleeper (2+1),2024-07-17 21:45:00,08h 45m,2024-07-17 06:30:00,3.1,450.00,32
1976,1977,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,ARK Travels,Non AC Seater (2+2),2024-07-17 21:40:00,07h 55m,2024-07-17 05:35:00,3.0,3000.00,40
1977,1978,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,NueGo,Electric A/C Seater/Sleeper (2+1),2024-07-17 23:30:00,07h 45m,2024-07-17 07:15:00,3.9,474.00,10
1978,1979,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Amaravathi Travels,NON A/C Hi-Tech Push Back (2+2),2024-07-17 22:00:00,07h 45m,2024-07-17 05:45:00,3.6,450.00,8
1979,1980,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,A/C Sleeper (2+1),2024-07-17 00:30:00,06h 50m,2024-07-17 07:20:00,3.3,960.00,9
1980,1981,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Jagan Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,07h 00m,2024-07-17 05:00:00,3.2,526.00,10
1981,1982,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:00:00,08h 30m,2024-07-17 03:30:00,3.0,475.00,10
1982,1983,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:10:00,09h 05m,2024-07-17 04:15:00,3.1,475.00,8
1983,1984,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambasiva Tours and Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 19:50:00,08h 10m,2024-07-17 04:00:00,3.9,777.00,3
1984,1985,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,07h 20m,2024-07-17 05:50:00,3.6,542.00,7
1985,1986,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Navin Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:05:00,09h 25m,2024-07-17 06:30:00,3.7,555.00,5
